brand_model,year,price,transmission,mileage,fuelType,tax,milesPerGallon,engineSize
Ford_EcoSport,2018,12498,Manual,10222,Petrol,145,54.3,1.0
Ford_Fiesta,2017,9998,Manual,28519,Petrol,20,62.8,1.0
Ford_Kuga,2017,13998,Manual,51772,Diesel,125,60.1,2.0
Ford_Fiesta,2016,9500,Automatic,7350,Petrol,0,57.7,1.0
Ford_Ka+,2018,8195,Manual,12231,Petrol,145,47.9,1.2
Ford_Kuga,2019,21498,Automatic,5354,Petrol,150,31.0,1.5
Ford_Focus,2017,17998,Manual,19525,Petrol,145,41.5,2.0
Ford_EcoSport,2018,14498,Manual,11922,Petrol,145,54.3,1.0
Ford_C-MAX,2016,9998,Manual,16984,Diesel,20,68.9,1.5
Ford_Fiesta,2016,7998,Manual,16070,Petrol,125,54.3,1.2
Ford_Focus,2018,10998,Manual,26648,Petrol,145,61.4,1.0
Ford_Fiesta,2017,10998,Manual,19140,Petrol,145,62.8,1.0
Ford_Focus,2016,9998,Manual,26399,Diesel,0,74.3,1.5
Ford_Fiesta,2013,5498,Manual,53545,Petrol,30,54.3,1.2
Ford_Fiesta,2017,9298,Manual,25491,Petrol,0,65.7,1.0
Ford_Fiesta,2014,7298,Manual,31359,Petrol,0,65.7,1.0
Ford_Focus,2016,8498,Manual,51656,Diesel,0,74.3,1.5
Ford_Kuga,2016,17698,Semi-Auto,11221,Diesel,145,54.3,2.0
Ford_Kuga,2017,14498,Manual,23356,Diesel,145,60.1,2.0
Ford_EcoSport,2018,12898,Manual,15267,Petrol,145,53.3,1.0
Ford_B-MAX,2017,7998,Manual,41294,Diesel,0,74.4,1.5
Ford_C-MAX,2018,12198,Manual,7993,Petrol,145,49.6,1.0
Ford_EcoSport,2017,9698,Manual,30207,Petrol,145,53.3,1.0
Ford_Fiesta,2016,8798,Manual,19815,Petrol,0,65.7,1.0
Ford_Kuga,2015,14298,Manual,43717,Diesel,145,54.3,2.0
Ford_Focus,2018,15798,Manual,4534,Petrol,145,58.9,1.0
Ford_Fiesta,2017,10298,Manual,9148,Petrol,145,65.7,1.0
Ford_KA,2014,4898,Manual,22609,Petrol,30,57.7,1.2
Ford_Focus,2016,10298,Manual,15510,Diesel,0,74.3,1.5
Ford_Fiesta,2017,9998,Manual,20347,Petrol,0,65.7,1.0
Ford_Kuga,2018,16698,Manual,3044,Petrol,145,39.2,1.5
Ford_Fiesta,2017,8998,Manual,5233,Petrol,125,54.3,1.2
Ford_Grand C-MAX,2015,8998,Manual,28359,Diesel,125,60.1,1.6
Ford_Focus,2017,12498,Semi-Auto,12244,Petrol,125,51.4,1.0
Ford_Fiesta,2018,12498,Manual,17918,Petrol,145,65.7,1.0
Ford_S-MAX,2020,34498,Semi-Auto,4623,Diesel,145,43.5,2.0
Ford_EcoSport,2017,9298,Manual,16770,Petrol,145,44.8,1.5
Ford_Focus,2017,10900,Manual,25459,Petrol,145,60.1,1.0
Ford_EcoSport,2017,9998,Manual,23913,Petrol,125,53.3,1.0
Ford_Fiesta,2018,12998,Manual,9901,Petrol,150,65.7,1.0
Ford_Focus,2016,10998,Semi-Auto,15006,Petrol,125,51.4,1.0
Ford_Focus,2017,15500,Manual,19593,Petrol,145,41.5,2.0
Ford_Kuga,2017,16200,Semi-Auto,23027,Diesel,145,58.9,1.5
Ford_C-MAX,2016,10500,Semi-Auto,13580,Diesel,20,64.2,1.5
Ford_Focus,2015,13200,Manual,32000,Diesel,20,67.3,2.0
Ford_Focus,2019,18698,Manual,15365,Petrol,145,60.1,1.0
Ford_Focus,2019,16998,Manual,7924,Diesel,145,80.7,1.5
Ford_Fiesta,2017,9998,Manual,10721,Petrol,145,65.7,1.0
Ford_EcoSport,2017,9498,Manual,25939,Petrol,145,53.3,1.0
Ford_Fiesta,2019,17498,Manual,3265,Petrol,145,58.9,1.0
Ford_Focus,2019,15998,Automatic,11045,Petrol,145,41.5,1.0
Ford_EcoSport,2020,17998,Manual,250,Petrol,145,51.4,1.0
Ford_B-MAX,2013,5698,Manual,44901,Petrol,145,47.1,1.4
Ford_Focus,2017,9998,Manual,22001,Petrol,20,60.1,1.0
Ford_Fiesta,2020,17298,Manual,4563,Petrol,145,54.3,1.0
Ford_Fiesta,2019,16998,Manual,12236,Petrol,145,55.4,1.0
Ford_Kuga,2019,23998,Manual,7584,Diesel,145,39.2,2.0
Ford_Fiesta,2013,6498,Manual,41599,Petrol,0,65.7,1.0
Ford_Grand C-MAX,2017,12498,Manual,10373,Petrol,145,54.3,1.0
Ford_Fiesta,2013,4998,Manual,79300,Petrol,0,65.7,1.0
Ford_C-MAX,2017,11498,Manual,12982,Petrol,30,55.4,1.0
Ford_Focus,2017,11298,Manual,24386,Diesel,0,74.3,1.5
Ford_EcoSport,2017,9298,Manual,18209,Diesel,30,64.2,1.5
Ford_EcoSport,2018,12998,Manual,9796,Petrol,145,54.3,1.0
Ford_Fiesta,2018,14498,Manual,9428,Petrol,145,62.8,1.0
Ford_Galaxy,2016,18498,Manual,30528,Diesel,125,56.5,2.0
Ford_C-MAX,2016,8498,Manual,41772,Petrol,30,55.4,1.0
Ford_Fiesta,2015,8298,Manual,15673,Petrol,0,65.7,1.0
Ford_Focus,2015,8498,Manual,47219,Diesel,0,74.3,1.5
Ford_Focus,2018,12998,Manual,16081,Petrol,150,57.7,1.0
Ford_Focus,2019,16998,Manual,10476,Petrol,145,60.1,1.0
Ford_Fiesta,2016,9998,Manual,16647,Petrol,0,65.7,1.0
Ford_Kuga,2017,13698,Manual,41457,Diesel,150,54.3,2.0
Ford_Focus,2017,13998,Semi-Auto,4735,Petrol,125,51.4,1.0
Ford_EcoSport,2016,9498,Manual,24045,Petrol,125,53.3,1.0
Ford_EcoSport,2019,15984,Manual,6500,Petrol,145,51.4,1.0
Ford_EcoSport,2017,8489,Manual,60190,Petrol,160,44.8,1.5
Ford_Fiesta,2017,9995,Manual,27000,Diesel,0,78.5,1.5
Ford_Fiesta,2017,8498,Manual,32538,Petrol,0,65.7,1.0
Ford_Kuga,2016,13498,Manual,36345,Diesel,150,54.3,2.0
Ford_Focus,2016,8998,Manual,43623,Petrol,20,61.4,1.0
Ford_Kuga,2013,9998,Semi-Auto,58500,Diesel,200,45.6,2.0
Ford_Kuga,2017,17498,Manual,15729,Diesel,145,54.3,2.0
Ford_Fiesta,2018,9998,Manual,7892,Petrol,145,65.7,1.0
Ford_Fiesta,2017,11990,Manual,24725,Petrol,145,47.9,1.6
Ford_Focus,2019,16899,Manual,7000,Diesel,145,80.7,1.5
Ford_EcoSport,2019,15984,Manual,3500,Petrol,145,51.4,1.0
Ford_EcoSport,2019,15984,Manual,4500,Petrol,145,51.4,1.0
Ford_EcoSport,2019,15984,Manual,4000,Petrol,145,51.4,1.0
Ford_EcoSport,2019,13998,Manual,4889,Diesel,145,68.9,1.5
Ford_Kuga,2017,17994,Manual,20633,Diesel,150,54.3,2.0
Ford_Galaxy,2016,17489,Semi-Auto,47937,Diesel,165,51.4,2.0
Ford_Kuga,2018,19899,Semi-Auto,28500,Diesel,145,54.3,2.0
